
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
44:1C:12:0B:CB:A7, 2019-04-10 23:17:40, 2019-04-10 23:35:08,  1, 130, OPN, ,   , -59,       25,        0,   0.  0.  0.  0,  11, xfinitywifi, 
AE:20:2E:6C:00:A8, 2019-04-10 23:18:01, 2019-04-10 23:35:07, 11, 195, WPA2, CCMP, PSK, -64,       46,        0,   0.  0.  0.  0,   7, Centaur, 
60:5F:8D:D7:45:C5, 2019-04-10 23:24:55, 2019-04-10 23:35:08,  1, 360, OPN, ,   , -64,        3,        0,   0.  0.  0.  0,   0, , 
AE:20:2E:70:5A:60, 2019-04-10 23:17:09, 2019-04-10 23:35:07, 11, 195, WPA2, CCMP, PSK, -65,       35,        0,   0.  0.  0.  0,  14, Nat's Internet, 
EC:4F:82:84:AB:6B, 2019-04-10 23:25:17, 2019-04-10 23:35:08,  1, 130, WPA2 WPA, CCMP TKIP, PSK, -65,        4,        0,   0.  0.  0.  0,  15, CenturyLink2A65, 
32:86:8C:83:30:76, 2019-04-10 23:17:35, 2019-04-10 23:35:07,  6, 195, WPA2, CCMP TKIP, PSK, -66,       15,        0,   0.  0.  0.  0,   0, , 
D6:7C:D1:60:21:F8, 2019-04-10 23:17:28, 2019-04-10 23:35:04,  6, 195, WPA2, CCMP TKIP, MGT, -66,       14,        0,   0.  0.  0.  0,   0, , 
60:5F:8D:4C:D5:A3, 2019-04-10 23:17:09, 2019-04-10 23:35:04,  1, 360, WPA2, CCMP,   , -67,       48,       12,   0.  0.  0.  0,   0, , 
58:19:F8:F4:B1:32, 2019-04-10 23:17:27, 2019-04-10 23:35:07, 11, 195, WPA2, CCMP, PSK, -68,       33,        0,   0.  0.  0.  0,   7, NWbest , 
60:5F:8D:4C:D5:A9, 2019-04-10 23:17:09, 2019-04-10 23:35:04,  1, 360, OPN, ,   , -69,       37,        0,   0.  0.  0.  0,   0, , 
38:2C:4A:CB:CE:40, 2019-04-10 23:17:27, 2019-04-10 23:35:30, 11, 195, WPA2, CCMP, PSK, -70,       13,       25,   0.  0.  0.  0,  19, The LAN Before Time, 
C0:C1:C0:A1:83:79, 2019-04-10 23:25:06, 2019-04-10 23:35:08,  6, 130, WPA2 WPA, CCMP TKIP, PSK, -70,       32,        1,   0.  0.  0.  0,  11, porusanSlow, 
60:5F:8D:4C:D5:A6, 2019-04-10 23:17:09, 2019-04-10 23:35:04,  1, 360, WPA2, CCMP, PSK, -70,       45,        8,   0.  0.  0.  0,  12, WhiteRussian, 
18:D6:C7:6D:45:77, 2019-04-10 23:17:05, 2019-04-10 23:35:07, 11, 195, WPA2 WPA, CCMP, PSK, -75,       26,        0,   0.  0.  0.  0,   3, lps, 
38:8B:59:CA:F9:74, 2019-04-10 23:18:47, 2019-04-10 23:35:08,  1, 130, WPA2, CCMP, PSK, -76,       11,        0,   0.  0.  0.  0,   6, Mordor, 
F8:32:E4:A7:BF:18, 2019-04-10 23:17:27, 2019-04-10 23:35:03, 11, 195, WPA2, CCMP, PSK, -76,        6,        1,   0.  0.  0.  0,   3, TNA, 
74:44:01:71:3C:5A, 2019-04-10 23:24:21, 2019-04-10 23:34:52,  6, 130, WPA2, CCMP, PSK, -64,        8,        0,   0.  0.  0.  0,  11, Air Buckley, 
9A:19:F8:F4:B1:32, 2019-04-10 23:17:27, 2019-04-10 23:34:52, 11, 195, WPA2, CCMP TKIP, MGT, -66,       31,        0,   0.  0.  0.  0,   0, , 
22:86:8C:83:30:76, 2019-04-10 23:17:16, 2019-04-10 23:34:56,  6, 195, OPN, ,   , -68,       37,        0,   0.  0.  0.  0,  11, xfinitywifi, 
54:A6:5C:7D:04:30, 2019-04-10 23:25:59, 2019-04-10 23:34:52,  6, 130, WPA2 WPA, CCMP, MGT, -69,        2,        0,   0.  0.  0.  0,   0, , 
44:1C:12:FB:6C:57, 2019-04-10 23:17:54, 2019-04-10 23:34:52, 11, 130, OPN, ,   , -69,       19,        0,   0.  0.  0.  0,  11, xfinitywifi, 
D4:6E:0E:8F:91:2B, 2019-04-10 23:24:01, 2019-04-10 23:34:55,  9, 130, WPA2, CCMP, PSK, -72,       33,        3,   0.  0.  0.  0,  12, TP-LINK_912B, 
4C:ED:FB:7A:67:98, 2019-04-10 23:17:35, 2019-04-10 23:34:52, 11, 195, WPA2, CCMP, PSK, -73,       13,       21,   0.  0.  0.  0,  14, Homeward Bound, 
B4:75:0E:B4:8E:CC, 2019-04-10 23:17:20, 2019-04-10 23:34:55,  9,  54, WPA, TKIP, PSK, -74,       51,       35,   0.  0.  0.  0,   8, StanFish, 
48:F8:B3:29:89:38, 2019-04-10 23:17:42, 2019-04-10 23:34:56, 11,  65, WPA2 WPA, CCMP TKIP, PSK, -74,        5,        4,   0.  0.  0.  0,  10, Winterfell, 
54:A6:5C:7D:04:2B, 2019-04-10 23:17:58, 2019-04-10 23:34:41,  6,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
CC:40:D0:05:54:01, 2019-04-10 23:17:38, 2019-04-10 23:34:44, 10, 195, WPA2, CCMP, PSK, -72,       22,        0,   0.  0.  0.  0,   7, Anamika, 
C0:7C:D1:60:21:F8, 2019-04-10 23:17:28, 2019-04-10 23:34:30,  6, 195, WPA2, CCMP, PSK, -66,       19,        0,   0.  0.  0.  0,  12, Backhome1955, 
08:62:66:3B:33:E0, 2019-04-10 23:17:07, 2019-04-10 23:34:32,  9, 195, WPA2, CCMP, PSK, -70,       91,      198,   0.  0.  0.  0,  10, EdoWifi_5G, 
EC:4F:82:84:59:ED, 2019-04-10 23:17:18, 2019-04-10 23:34:16,  8, 130, WPA2 WPA, CCMP TKIP, PSK, -62,       19,       19,   0.  0.  0.  0,  15, CenturyLink2157, 
FA:AA:A0:71:47:38, 2019-04-10 23:17:09, 2019-04-10 23:34:15,  6, 195, WPA2, CCMP TKIP, PSK, -64,       15,        0,   0.  0.  0.  0,   0, , 
EC:08:6B:D8:6E:E3, 2019-04-10 23:25:32, 2019-04-10 23:34:15,  6,  54, WPA2 WPA, CCMP, PSK, -70,        5,        0,   0.  0.  0.  0,   0, , 
6A:19:F8:F4:B1:32, 2019-04-10 23:34:00, 2019-04-10 23:34:18, 11, 195, OPN, ,   , -74,        3,        0,   0.  0.  0.  0,  11, xfinitywifi, 
14:DD:A9:89:D7:10, 2019-04-10 23:24:14, 2019-04-10 23:34:04,  7, 195, WPA2, CCMP, PSK, -57,       21,        1,   0.  0.  0.  0,   6, Wicked, 
A0:63:91:5E:74:13, 2019-04-10 23:17:27, 2019-04-10 23:34:03, 11, 130, WPA2, CCMP, PSK, -74,       26,        3,   0.  0.  0.  0,  11, BigRedBears, 
00:AC:E0:67:19:90, 2019-04-10 23:18:44, 2019-04-10 23:33:56,  1, 130, WPA2, CCMP TKIP, PSK, -73,        4,        0,   0.  0.  0.  0,   9, HOME-1992, 
1C:87:2C:67:F9:70, 2019-04-10 23:19:32, 2019-04-10 23:33:41, 11, 195, WPA2, CCMP, PSK, -66,       11,        0,   0.  0.  0.  0,  10, Interwebbs, 
BA:23:AE:85:99:70, 2019-04-10 23:17:08, 2019-04-10 23:33:44, 10, 195, WPA2, CCMP TKIP, MGT, -71,       44,        0,   0.  0.  0.  0,   0, , 
EC:4F:82:84:C1:64, 2019-04-10 23:17:51, 2019-04-10 23:33:18, 11, 130, WPA2 WPA, CCMP TKIP, PSK, -71,        4,        0,   0.  0.  0.  0,  15, CenturyLink2CD6, 
EC:9A:74:9D:FC:B6, 2019-04-10 23:31:26, 2019-04-10 23:33:03,  6,  54, WPA2, CCMP, PSK, -70,        5,        0,   0.  0.  0.  0,  30, HP-Print-B6-Officejet Pro 8600, 
B6:2E:48:15:66:0B, 2019-04-10 23:24:44, 2019-04-10 23:32:56,  1, 130, WPA2 WPA, CCMP, MGT, -60,        8,        0,   0.  0.  0.  0,   0, , 
10:86:8C:1F:0C:68, 2019-04-10 23:17:12, 2019-04-10 23:32:52,  6, 195, WPA2, CCMP, PSK, -70,       16,        0,   0.  0.  0.  0,  10, Edeki-Home, 
E6:FE:07:9A:F9:08, 2019-04-10 23:17:36, 2019-04-10 23:32:56,  1, 195, OPN, ,   , -71,       13,        0,   0.  0.  0.  0,  11, xfinitywifi, 
FA:8F:CA:54:93:B9, 2019-04-10 23:17:27, 2019-04-10 23:32:52, 11,  65, OPN, ,   , -72,        7,        0,   0.  0.  0.  0,   0, , 
50:C7:BF:2E:F5:53, 2019-04-10 23:23:00, 2019-04-10 23:32:31,  2, 130, WPA2, CCMP, PSK, -64,       20,        0,   0.  0.  0.  0,   7, GIGAPET, 
DC:FE:07:9A:F9:08, 2019-04-10 23:31:26, 2019-04-10 23:32:30,  1, 195, WPA2, CCMP, PSK, -70,        4,        0,   0.  0.  0.  0,   7, Ireland, 
14:59:C0:95:1B:FC, 2019-04-10 23:18:19, 2019-04-10 23:32:17,  4, 195, WPA2, CCMP, PSK, -59,       38,        9,   0.  0.  0.  0,   6, Jasper, 
4C:60:DE:51:25:C6, 2019-04-10 23:18:21, 2019-04-10 23:32:08,  7, 130, WPA2, CCMP, PSK, -62,       33,        1,   0.  0.  0.  0,   9, NETGEAR67, 
26:54:A5:EE:2D:D0, 2019-04-10 23:18:36, 2019-04-10 23:32:08,  1, 195, WPA2, CCMP TKIP, PSK, -66,        9,        0,   0.  0.  0.  0,   0, , 
C0:7C:D1:9F:21:98, 2019-04-10 23:18:28, 2019-04-10 23:32:07, 11, 195, WPA2, CCMP TKIP, PSK, -68,       33,        1,   0.  0.  0.  0,  12, GO-yell-wifi, 
20:25:64:EB:39:90, 2019-04-10 23:18:21, 2019-04-10 23:32:05,  1, 195, WPA2, CCMP TKIP, PSK, -70,       50,       44,   0.  0.  0.  0,  13, HOME-94B6-2.4, 
50:C7:BF:F4:DE:B0, 2019-04-10 23:18:39, 2019-04-10 23:32:07,  6, 195, WPA2 WPA, CCMP TKIP, PSK, -70,       30,        2,   0.  0.  0.  0,  12, TP-Link_DEB0, 
DC:EF:09:9A:FD:26, 2019-04-10 23:18:25, 2019-04-10 23:32:08,  1, 130, WPA2, CCMP, PSK, -70,       13,        1,   0.  0.  0.  0,  20, DunderMifflin-Nashua, 
CA:7C:D1:9F:21:98, 2019-04-10 23:18:28, 2019-04-10 23:32:07, 11, 195, OPN, ,   , -71,       46,        0,   0.  0.  0.  0,  11, xfinitywifi, 
0E:41:58:00:ED:E9, 2019-04-10 23:18:32, 2019-04-10 23:32:03,  6, 270, OPN, ,   , -72,       17,        0,   0.  0.  0.  0,  13, Wifi-Repeater, 
AC:86:74:49:AD:CB, 2019-04-10 23:18:43, 2019-04-10 23:32:03, 11, 130, WPA2, CCMP, PSK, -72,       37,        0,   0.  0.  0.  0,   6, NWRPCA, 
E6:CB:BC:8A:E2:FB, 2019-04-10 23:20:13, 2019-04-10 23:32:03, 11, 540, WPA2 WPA, CCMP TKIP, PSK, -73,       25,        0,   0.  0.  0.  0,  13, Skykick Guest, 
F4:F2:6D:63:A5:69, 2019-04-10 23:18:20, 2019-04-10 23:32:07, 11, 195, WPA2 WPA, CCMP, PSK, -76,       41,        3,   0.  0.  0.  0,  12, TP-LINK_A569, 
E0:CB:BC:8A:E2:FB, 2019-04-10 23:20:13, 2019-04-10 23:32:03, 11, 540, WPA2, CCMP, PSK, -78,       43,        0,   0.  0.  0.  0,   6, Kronos, 
FA:8F:CA:93:55:79, 2019-04-10 23:18:48, 2019-04-10 23:31:54,  8,  65, OPN, ,   , -64,       10,        0,   0.  0.  0.  0,   0, , 
F0:79:59:36:2D:92, 2019-04-10 23:18:42, 2019-04-10 23:31:51,  4, 130, WPA2, CCMP, PSK, -65,       14,        1,   0.  0.  0.  0,   5, henry, 
2A:25:64:EB:39:90, 2019-04-10 23:18:21, 2019-04-10 23:31:41,  1, 195, OPN, ,   , -64,       60,        0,   0.  0.  0.  0,  11, xfinitywifi, 
84:16:F9:7C:F3:B9, 2019-04-10 23:21:32, 2019-04-10 23:31:44, 11, 195, WPA2 WPA, CCMP, PSK, -66,       37,        1,   0.  0.  0.  0,  11, Stella_wave, 
4E:7A:8A:38:93:42, 2019-04-10 23:31:41, 2019-04-10 23:31:41,  6, 195, OPN, ,   , -74,        0,        0,   0.  0.  0.  0,  11, xfinitywifi, 
1A:05:01:3F:03:D0, 2019-04-10 23:24:29, 2019-04-10 23:31:30,  1, 195, OPN, ,   , -64,       10,        6,  10.229.115.118,  11, xfinitywifi, 
F8:1A:67:FF:88:9F, 2019-04-10 23:18:40, 2019-04-10 23:31:15,  1,  54, WPA2 WPA, CCMP, PSK, -57,       28,        2,   0.  0.  0.  0,  14, Leonard_2.4GHz, 
22:54:A5:EE:2D:D0, 2019-04-10 23:18:40, 2019-04-10 23:31:15,  1, 195, WPA2, CCMP TKIP, MGT, -62,       21,        0,   0.  0.  0.  0,   0, , 
D8:97:BA:77:EE:78, 2019-04-10 23:18:47, 2019-04-10 23:31:18,  6, 195, WPA2, CCMP, PSK, -67,       17,        4,   0.  0.  0.  0,  19, Neighborhood 12358W, 
EE:97:BA:77:EE:78, 2019-04-10 23:18:43, 2019-04-10 23:31:18,  6, 195, WPA2, CCMP TKIP, MGT, -67,       33,        0,   0.  0.  0.  0,   0, , 
8C:3B:AD:1B:51:62, 2019-04-10 23:18:21, 2019-04-10 23:31:15,  1, 130, WPA2, CCMP, PSK, -68,       38,        5,   0.  0.  0.  0,  14, Kevin Home_EXT, 
28:C7:CE:4E:5B:02, 2019-04-10 23:19:13, 2019-04-10 23:31:04,  1, 130, OPN, ,   , -52,       33,        0,   0.  0.  0.  0,   1, , 
28:C7:CE:4E:5B:01, 2019-04-10 23:19:36, 2019-04-10 23:31:04,  1, 130, OPN, ,   , -54,       36,        0,   0.  0.  0.  0,   9, EQR-Guest, 
28:C7:CE:4E:5B:03, 2019-04-10 23:19:10, 2019-04-10 23:31:03,  1, 130, WPA2, CCMP, MGT, -55,       39,        0,   0.  0.  0.  0,   6, H0ck3y, 
E2:97:BA:77:EE:78, 2019-04-10 23:18:43, 2019-04-10 23:31:07,  6, 195, OPN, ,   , -56,       30,        0,   0.  0.  0.  0,  11, xfinitywifi, 
4C:ED:FB:81:A3:30, 2019-04-10 23:19:07, 2019-04-10 23:31:05,  8, 195, WPA2, CCMP, PSK, -57,      138,       11,   0.  0.  0.  0,   9, BucklePup, 
20:4E:7F:82:CC:06, 2019-04-10 23:19:44, 2019-04-10 23:31:04,  1, 130, WPA2, CCMP, PSK, -63,       30,        0,   0.  0.  0.  0,   9, ZooeySlow, 
C0:56:27:08:04:EA, 2019-04-10 23:20:09, 2019-04-10 23:31:04, 11,  54, WPA2 WPA, CCMP TKIP, PSK, -66,       11,        0,   0.  0.  0.  0,  13, Skykick Guest, 
B4:F7:A1:E3:F8:35, 2019-04-10 23:19:53, 2019-04-10 23:31:04, -1,  -1, , ,   , -68,        0,        0,   0.  0.  0.  0,   0, , 
CE:7C:D1:7D:0F:68, 2019-04-10 23:18:54, 2019-04-10 23:31:03, 11, 130, WPA2, CCMP TKIP, PSK, -70,       56,        0,   0.  0.  0.  0,   0, , 
28:C7:CE:4E:5B:00, 2019-04-10 23:19:25, 2019-04-10 23:30:52,  1, 130, WPA2, CCMP, MGT, -50,       29,        0,   0.  0.  0.  0,   8, f00TBA11, 
E6:97:BA:77:EE:78, 2019-04-10 23:18:28, 2019-04-10 23:30:52,  6, 195, WPA2, CCMP TKIP, PSK, -50,       13,        0,   0.  0.  0.  0,   0, , 
D6:7C:D1:7D:0F:68, 2019-04-10 23:19:43, 2019-04-10 23:30:55, 11, 130, WPA2, CCMP TKIP, MGT, -52,       21,        0,   0.  0.  0.  0,   0, , 
38:2C:4A:A4:75:78, 2019-04-10 23:19:00, 2019-04-10 23:30:54,  9, 195, WPA2, CCMP, PSK, -57,      116,       18,   0.  0.  0.  0,   4, BAJR, 
82:F2:9E:25:02:38, 2019-04-10 23:19:51, 2019-04-10 23:30:52, 11, 195, OPN, ,   , -59,        7,        0,   0.  0.  0.  0,  11, xfinitywifi, 
CA:7C:D1:7D:0F:68, 2019-04-10 23:19:47, 2019-04-10 23:30:55, 11, 130, OPN, ,   , -62,       24,        0,   0.  0.  0.  0,  11, xfinitywifi, 
8E:F2:9E:25:02:38, 2019-04-10 23:19:51, 2019-04-10 23:30:52, 11, 195, WPA2, CCMP TKIP, MGT, -65,       12,        0,   0.  0.  0.  0,   0, , 
C0:7C:D1:7D:0F:68, 2019-04-10 23:19:39, 2019-04-10 23:30:55, 11, 130, WPA2, CCMP, PSK, -66,       29,        2,   0.  0.  0.  0,   6, Kenyon, 
78:F2:9E:25:02:38, 2019-04-10 23:19:47, 2019-04-10 23:30:52, 11, 195, WPA2, CCMP TKIP, PSK, -66,       23,        1,   0.  0.  0.  0,  13, HOME-3A48-2.4, 
2C:30:33:64:E6:17, 2019-04-10 23:18:49, 2019-04-10 23:30:54,  4, 195, WPA2, CCMP, PSK, -68,       65,        3,   0.  0.  0.  0,   9, NETGEAR43, 
