
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
DC:FE:07:A5:75:58, 2018-09-15 16:29:20, 2018-09-15 16:29:24, 11,  54, WPA2 WPA, CCMP TKIP,PSK,   0,       11,        0,   0.  0.  0.  0,  13, CBCI-9D1F-2.4, 
48:60:5F:07:95:76, 2018-09-15 16:29:19, 2018-09-15 16:29:28, 11,  54, WPA2, CCMP,PSK,   0,      359,        2,   0.  0.  0.  0,  16, LG Aristo 2 8980, 
BA:C1:11:C1:AA:C8, 2018-09-15 16:29:19, 2018-09-15 16:29:28, 11,  54, WPA2, CCMP,PSK,   0,        8,        0,   0.  0.  0.  0,  17, Kristine's iPhone, 
EC:BD:1D:5D:68:7E, 2018-09-15 16:29:26, 2018-09-15 16:29:26,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
88:75:56:87:85:5F, 2018-09-15 16:29:25, 2018-09-15 16:29:25,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
88:75:56:87:85:54, 2018-09-15 16:29:24, 2018-09-15 16:29:27,  0,  -1, OPN, ,   ,  -1,        0,        1, 100. 69.235. 16,   0, , 
84:78:AC:98:95:CE, 2018-09-15 16:29:24, 2018-09-15 16:29:24,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:FE:07:A3:A2:51, 2018-09-15 16:29:23, 2018-09-15 16:29:23,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:3A:07:6F:55:96, 2018-09-15 16:29:23, 2018-09-15 16:29:25,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
10:05:01:20:83:C8, 2018-09-15 16:29:23, 2018-09-15 16:29:25,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
EC:BD:1D:5C:26:70, 2018-09-15 16:29:23, 2018-09-15 16:29:25,  0,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
E0:AC:F1:C4:54:20, 2018-09-15 16:29:22, 2018-09-15 16:29:25,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:3A:07:6F:55:93, 2018-09-15 16:29:21, 2018-09-15 16:29:23,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
EC:BD:1D:5C:26:7E, 2018-09-15 16:29:21, 2018-09-15 16:29:25,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
40:E3:D6:5D:86:F0, 2018-09-15 16:29:19, 2018-09-15 16:29:24,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:3A:07:6F:55:97, 2018-09-15 16:29:20, 2018-09-15 16:29:20,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
00:1A:DD:07:21:24, 2018-09-15 16:29:20, 2018-09-15 16:29:20,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
DC:FE:07:A5:75:61, 2018-09-15 16:29:21, 2018-09-15 16:29:21,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
10:DA:43:8F:21:A7, 2018-09-15 16:29:22, 2018-09-15 16:29:22,  0,  -1, WPA, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
00:1A:DD:07:22:84, 2018-09-15 16:29:22, 2018-09-15 16:29:22,  0,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
C4:13:E2:37:44:54, 2018-09-15 16:29:19, 2018-09-15 16:29:29,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C4:13:E2:37:44:64, 2018-09-15 16:29:19, 2018-09-15 16:29:30,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
EC:BD:1D:5C:26:7F, 2018-09-15 16:29:19, 2018-09-15 16:29:30,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:3A:07:6F:55:90, 2018-09-15 16:29:20, 2018-09-15 16:29:30,  0,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
00:00:00:00:00:00, 2018-09-15 16:29:21, 2018-09-15 16:29:30,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
20:3A:07:6F:55:9F, 2018-09-15 16:29:27, 2018-09-15 16:29:29,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
C4:13:E2:37:42:A4, 2018-09-15 16:29:28, 2018-09-15 16:29:30,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
88:75:56:87:85:50, 2018-09-15 16:29:30, 2018-09-15 16:29:30,  0,  -1, OPN, ,   ,  -1,        0,        1,   0.  0.  0.  0,   0, , 
FE:E9:98:BF:95:F7, 2018-09-15 16:29:30, 2018-09-15 16:29:30,  0,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
88:DC:96:30:AC:F2, 2018-09-15 16:29:19, 2018-09-15 16:29:30, 11,  54, OPN, ,   ,   0,     2452,     1102, 192.168.150.107,  12, Dunkin Guest, 
9A:DC:96:30:AC:F2, 2018-09-15 16:29:19, 2018-09-15 16:29:30, 11,  54, WPA2, CCMP,PSK,   0,     1928,        0,   0.  0.  0.  0,   0, , 
AA:DC:96:30:AC:F2, 2018-09-15 16:29:19, 2018-09-15 16:29:30, 11,  54, WPA2, CCMP,PSK,   0,     2249,        0,   0.  0.  0.  0,   0, , 
10:05:01:20:B6:F0, 2018-09-15 16:29:19, 2018-09-15 16:29:30, 11,  54, WPA2 WPA, CCMP TKIP,PSK,   0,     1461,        0,   0.  0.  0.  0,  13, CBCI-B7E9-2.4, 
A2:CC:2B:A0:7E:93, 2018-09-15 16:29:29, 2018-09-15 16:29:30, 11,  54, WPA2, CCMP,PSK,   0,        9,       27,   0.  0.  0.  0,  23, Samsung Galaxy S8+ 5746, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
FE:76:D1:92:44:2E, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
26:3F:B3:0D:F1:3C, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
B2:05:31:99:51:46, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
02:B1:61:EE:93:5B, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,M&M Monitors
16:7E:C3:3A:63:40, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
02:43:13:71:16:C5, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
12:E7:1A:90:6D:9D, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
DA:A1:19:33:19:C5, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
84:8E:0C:BB:35:78, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,skyfi_secure
8E:6A:B2:4C:8B:B1, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
96:D9:75:74:98:0E, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
62:74:A2:AC:56:0C, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
5E:5A:25:E2:90:C7, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
2E:60:BE:E9:E2:C3, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
6A:51:31:F7:C9:47, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
7E:62:E6:C2:F6:7E, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
B2:2B:31:7A:5D:79, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
7A:1C:6F:64:89:6E, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
1C:AB:A7:D4:31:EB, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
4A:E0:2B:FC:2A:94, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
CE:50:7C:61:AB:90, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,City_Creek_Center
E6:F4:AE:69:56:D2, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
DA:EC:1F:96:D3:60, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        4, (not associated) ,BEVNET-NOACCESS2
7A:5A:3A:9E:BF:21, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
7E:11:03:4C:A0:09, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
DE:49:94:18:25:2F, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
5A:A6:AF:D7:38:1C, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
02:10:86:E9:E4:CA, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
42:4D:CD:C7:62:13, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
16:07:2D:C7:BF:1D, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
B6:D3:5B:6F:B4:83, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
AE:8A:E5:6E:70:81, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
9A:52:BC:6F:90:DC, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
26:3E:FB:89:D3:DD, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
42:BE:33:BA:24:29, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
02:05:13:03:D8:7A, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
A6:CD:03:8B:BD:11, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
A0:D7:95:77:33:93, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,Boingo Hotspot
9E:7F:4F:0F:2C:1E, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
9E:5D:06:4C:5E:53, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
CA:92:1F:6E:74:21, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        3, (not associated) ,
96:A4:5B:88:B0:DE, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
22:75:7D:68:E6:BD, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
5A:A9:7F:9F:09:D8, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
8A:01:F7:27:59:16, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
12:FB:FE:91:2C:AB, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
EA:43:EE:B4:89:4C, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
56:D9:F2:C2:B4:99, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
1A:E0:54:71:94:36, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
BE:A2:99:48:A9:DD, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
AA:96:A4:15:EE:5C, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        2, (not associated) ,
DE:6E:AC:3A:94:8A, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        1, (not associated) ,
86:89:F5:A5:74:65, 2018-09-15 16:29:24, 2018-09-15 16:29:24,   0,        3, (not associated) ,
